employee_id,first_name,last_name,city,state,zip_code,email,phone_number,date_of_birth,department,salary,ssn
520901,David,Keller,Gregoryport,West Virginia,38649,max61@example.net,001-408-685-5325x448,1933-08-30,Finance,47420,710-77-6556
311371,Heather,Smith,Dawsonton,Virginia,76107,lisa95@example.com,+1-367-571-0961x2493,2020-11-21,Engineering,39388,701-20-8555
386151,Amy,Meyer,Davidberg,Pennsylvania,57519,briana73@example.org,(743)661-0692x473,1915-01-02,Marketing,142294,355-13-4367
946895,Shane,Jones,Shannonmouth,Mississippi,42833,erinpierce@example.net,456-616-9042x83637,1921-05-30,Finance,69166,123-55-7573
238081,Darryl,Baker,Hayleybury,New Jersey,85731,kristin34@example.org,493-503-1778,2018-04-25,Sales,135995,621-46-2719
443144,Christopher,Navarro,East Alexandra,Tennessee,83802,duffydenise@example.org,9053839156,1985-09-20,Finance,44992,574-33-0872
802006,Amanda,Chandler,North Grace,Montana,61981,jmendez@example.net,920-284-8043,1930-08-19,Human Resources,34556,218-74-7916
101322,Dawn,Caldwell,Smithstad,Colorado,88901,reynoldstasha@example.net,564.471.4643x9172,1912-04-16,Engineering,101558,274-63-6083
519021,Christine,Morales,East Teresaton,Montana,10213,mnorton@example.net,806.231.5391,1982-11-17,Human Resources,105443,710-92-2103
184046,David,Parrish,Port Sandrafort,Alabama,46276,brianjohnson@example.org,311-764-1980,1953-05-03,Engineering,59474,150-11-4552
562876,Colin,White,West Joshua,Arizona,71101,freyclifford@example.com,2616432374,1939-05-21,Marketing,128795,732-80-5654
255320,Michael,Snyder,North Andrewton,Arkansas,23182,todd88@example.net,+1-766-222-5995x252,1936-01-11,Engineering,36306,087-45-6885
876756,Peggy,Adams,Blankenshipbury,South Carolina,20857,lcook@example.org,387-852-3295x400,1967-10-30,Engineering,123043,134-89-1879
196382,Sara,Murray,Davidfurt,Illinois,16320,donnacruz@example.net,+1-225-262-7104x436,1998-01-04,Human Resources,73069,621-52-0015
571664,Shawn,Jackson,South Richard,Montana,68217,brad57@example.org,674-336-2401x727,2004-11-01,Sales,107265,614-26-0892
816636,Jordan,Jones,New Amanda,Oregon,33206,esmith@example.com,(644)373-3133x4664,2002-09-06,Sales,42491,608-69-9675
323087,Phyllis,Petty,Josemouth,Maine,35082,terriwalters@example.com,7909555020,1928-05-26,Marketing,108940,425-54-8873
284794,Timothy,Dawson,Port Douglas,South Dakota,54600,lopezglenda@example.org,359.774.1513x3268,1915-07-12,Marketing,117813,628-33-0786
420624,Joseph,Reed,Peggymouth,Delaware,44780,mpage@example.com,001-314-252-5464x520,1934-12-18,Marketing,31549,338-74-8102
600370,Erin,Park,Sarahville,Michigan,14019,justin41@example.com,429.970.4782x4712,1993-08-05,Marketing,102285,519-44-9527
176081,Elizabeth,House,West Rachelbury,Texas,84996,ruizchad@example.com,801-651-8171,2021-10-18,Engineering,127682,386-82-5686
870816,Kimberly,Flynn,Collinsshire,North Dakota,91356,michelle21@example.com,(307)272-2983,1991-10-08,Engineering,116897,715-93-7742
218402,Allison,Lester,Jamesstad,Connecticut,42047,ahorn@example.com,395-544-6386x312,2019-05-18,Engineering,104738,038-59-9275
547572,Craig,Arnold,Lake Christine,Iowa,31162,wongstacey@example.net,(956)981-1742,1941-11-20,Finance,112683,054-90-8553
396771,Rachel,Wilson,East Danielshire,Maine,42975,julia66@example.com,(637)250-1422,1925-03-25,Finance,58692,797-50-2249
199890,Margaret,Howard,Russellbury,Michigan,51989,wandavilla@example.com,(600)890-3789x269,1941-05-31,Finance,57105,879-90-3277
365295,Sandra,Simmons,West Thomasmouth,Ohio,06595,hannah02@example.com,962.309.4819,1923-09-28,Finance,126313,490-92-8525
243498,Dustin,Brown,Jenniferstad,Iowa,26323,thomas73@example.net,917.536.9801x0892,1909-02-08,Sales,145022,726-05-0820
262542,Amanda,Moore,Pattersonhaven,Maryland,28827,jason73@example.net,997-999-6320,2016-12-30,Finance,89861,238-23-3382
756376,Joshua,Williams,West Adammouth,California,29303,kylespence@example.org,294.491.6260,1917-01-10,Marketing,98848,064-01-5127
337385,Garrett,Martinez,South Mark,Alaska,88096,yluna@example.org,892-343-3064,2001-09-24,Finance,122935,209-28-4519
932159,Allison,Waller,Lake Nathan,Indiana,16664,tmason@example.com,426-859-9487,1975-08-22,Engineering,95580,795-27-8752
787934,Monica,Bradley,North Tara,Ohio,40229,coltonfoster@example.net,+1-490-841-8700,1958-08-03,Finance,111016,056-65-9728
208187,Jessica,Williams,Grayshire,North Carolina,55944,myersleah@example.org,001-256-854-1729x5759,1921-05-05,Engineering,63049,842-07-9343
115511,Julie,Colon,Crosbymouth,Mississippi,12349,amberjohns@example.net,328-309-0659x337,1940-06-05,Human Resources,138861,056-13-6985
394853,Shelly,Miller,Kochland,California,07705,rellison@example.org,266-542-6151,1965-01-30,Engineering,128194,012-63-0977
351720,Mary,Reynolds,West Maryville,South Carolina,90126,isaiah50@example.org,001-944-954-6851,1948-10-07,Sales,130799,751-26-6515
836857,Jennifer,Adams,Chadfort,Georgia,61424,qwilliams@example.net,(236)854-2153x5261,1978-10-12,Finance,139118,829-23-8920
415997,Sharon,Hayes,Wangside,Colorado,55781,amyavila@example.org,703-312-1023,1989-09-12,Human Resources,43013,328-49-0361
319846,Lauren,Fox,Brownstad,Oregon,06853,debrawashington@example.org,(913)798-3659x4449,1951-08-14,Sales,103337,068-12-5603
